Id,x,y,Expression,Action,Gesture,Interaction
person1,143,46,Sad,Walking,Left Hand Up,None
person1,147,41,Sad,Walking,Left Hand Up,None
person1,154,40,Sad,Walking,Down,Reading Book
person1,165,52,Sad,Walking,Down,Reading Book
person1,178,86,Sad,Walking,Down,None
person1,188,106,Sad,Walking,Down,None
person1,195,127,Sad,Walking,Down,None
person1,197,126,Sad,Walking,Down,None
person1,196,126,Sad,Walking,Down,None
person1,193,122,Sad,Walking,Down,None
person1,189,114,Sad,Walking,Down,None
person1,187,114,Sad,Walking,Down,None
person1,184,112,Sad,Walking,Down,None
person1,182,108,Sad,Walking,Down,None
person1,181,103,Sad,Walking,Down,None
person1,178,88,Sad,Walking,Down,None
person1,175,46,None,Walking,Down,None
person1,175,38,None,Walking,Down,Reading Book
person1,177,34,None,Walking,Down,None
person1,175,45,None,Walking,Right Hand Up,Reading Book
person1,718,50,None,Walking,Down,Reading Book
person1,595,65,None,Sitting,Down,Reading Book
person1,365,175,None,Sitting,Down,Reading Book
person1,224,178,None,Sitting,Down,Reading Book
person1,227,179,None,Walking,Down,Reading Book
person1,224,179,None,Walking,Down,Reading Book
person1,226,179,None,Walking,Down,Reading Book
person1,222,179,None,Walking,Down,Reading Book
person1,227,179,None,Walking,Down,Reading Book
person1,220,179,None,Walking,Down,Reading Book
person1,225,179,None,Walking,Down,Reading Book
person1,225,179,None,Walking,Down,Reading Book
person1,241,67,None,Sitting,Down,Reading Book
person1,245,92,None,Standing,Down,Reading Book
person1,266,138,None,Sitting,Down,Reading Book
person1,273,176,None,Sitting,Down,None
person1,291,213,None,Sitting,Down,None
person1,303,235,None,Standing,Down,None
person1,307,248,None,Sitting,Down,None
person1,306,248,None,Standing,Down,None
person1,302,246,None,Sitting,Down,None
person1,307,253,None,Standing,Down,None
person1,307,272,None,Standing,Down,None
person1,301,296,None,Standing,Down,None
person1,292,319,None,Standing,Down,None
person1,285,328,None,Sitting,Down,None
person1,277,344,None,Sitting,Down,None
person1,279,358,None,Sitting,Down,None
person1,273,369,None,Sitting,Down,None
person1,282,393,None,Sitting,Down,None
person1,293,417,None,Sitting,Down,None
person1,292,440,None,Sitting,Down,None
person1,289,468,None,Sitting,Down,None
person1,319,492,None,Walking,Down,None
person1,330,519,None,Walking,Down,None
person1,341,533,None,Walking,Both Hands Up,None
person1,347,541,None,Walking,Both Hands Up,None
person1,379,544,None,Walking,Both Hands Up,None
person1,391,547,None,Walking,Both Hands Up,None
person1,391,557,None,Walking,Left Hand Up,None
person1,398,562,None,Walking,Left Hand Up,None
person1,427,565,None,Walking,Left Hand Up,None
person1,413,563,None,Walking,Down,None
person1,459,561,None,Walking,Down,None
person1,514,557,None,Walking,Down,None
person1,486,557,None,Walking,Down,None
person1,538,556,None,Walking,Down,None
person1,531,558,None,Walking,Down,None
person1,561,559,None,Walking,Down,None
person1,553,558,None,Walking,Down,None
person1,577,555,None,Walking,Down,None
person1,590,548,None,Walking,Right Hand Up,None
